requirement_id,primary_plan,task,verification
R38,2026-09-11-rehla-07-interfaces-operations-release.md,Task 2: Web Top-up Purchase and Order Tracking Journeys,CustomerActionJourneyTest
R39,2026-09-11-rehla-06-reporting-integrations.md,Task 2: Outbox Worker In-app Projector and Dead Letters,InAppNotificationTest
R40,2026-09-11-rehla-07-interfaces-operations-release.md,Task 5: Filament Operations Panel,AdminCapabilityMatrixTest
R41,2026-09-11-rehla-03-catalog-forms-content.md,Task 1: Service Catalog and Price History,ServiceLifecycleTest
R42,2026-09-11-rehla-03-catalog-forms-content.md,Task 2: Draft and Published Form Versions,FormPublishingTest
R43,2026-09-11-rehla-07-interfaces-operations-release.md,Task 5: Filament Operations Panel,AdminCapabilityMatrixTest
R44,2026-09-11-rehla-04-wallet-topups.md,Task 3: Atomic Approval and Rejection,ApproveTopUpTest
R45,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Task 3: Fulfillment State Machine and Execution Creation,ExecutionStateMachineTest
R46,2026-09-11-rehla-02-identity-platform-services.md,Task 2: Append-only Audit Trail,AuditImmutabilityTest
R47,2026-09-11-rehla-02-identity-platform-services.md,Task 1: Identity Sessions and Capabilities,AuthorizationTest
R48,2026-09-11-rehla-02-identity-platform-services.md,Task 3: Private Document Lifecycle,DocumentLifecycleTest
R49,2026-09-11-rehla-03-catalog-forms-content.md,Task 1: Service Catalog and Price History,ServiceLifecycleTest
R50,2026-09-11-rehla-07-interfaces-operations-release.md,Task 3: API Foundation Authentication and Problem Details,ProblemDetailsTest
R51,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Tasks 1 3 and 5,status separation integration tests
R52,2026-09-11-rehla-07-interfaces-operations-release.md,Task 9: Security Performance and Final R01-R65 Release Gate,phase-one-acceptance.spec.ts
R53,2026-09-11-rehla-07-interfaces-operations-release.md,Task 9: Security Performance and Final R01-R65 Release Gate,phase-one-acceptance.spec.ts family scenario
R54,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Task 1: Immutable Paid Order and Snapshots,OrderImmutabilityTest
R55,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Tasks 1 and 5,order snapshot and price conflict tests
R56,2026-09-11-rehla-04-wallet-topups.md,Task 2: Bank Accounts and Top-up Submission,SubmitTopUpTest
R57,2026-09-11-rehla-04-wallet-topups.md,Task 3: Atomic Approval and Rejection,ConcurrentApprovalTest
R58,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Task 5: Atomic and Idempotent SubmitOrder,SubmitOrderConcurrencyTest
R59,2026-09-11-rehla-05-orders-purchasing-fulfillment.md,Task 5: Atomic and Idempotent SubmitOrder,SubmitOrderConcurrencyTest
R60,2026-09-11-rehla-01-foundation-core.md,Task 4: Enforce Package Boundaries and Table Ownership,PackageDependencyTest
R61,2026-09-11-rehla-07-interfaces-operations-release.md,Task 6: Localization RTL Accessibility and Browser Journeys,accessibility.spec.ts
R62,2026-09-11-rehla-06-reporting-integrations.md,Task 1: Product Metrics Contract and Read Models,ProductMetricsTest
R63,2026-09-11-rehla-07-interfaces-operations-release.md,Task 9: Security Performance and Final R01-R65 Release Gate,phase-one-acceptance.spec.ts
R64,2026-09-11-rehla-01-foundation-core.md,Task 4: Enforce Package Boundaries and Table Ownership,PackageDependencyTest and public contracts
R65,2026-09-11-rehla-07-interfaces-operations-release.md,Task 9: Security Performance and Final R01-R65 Release Gate,phase-one-acceptance.spec.ts
